Player Number,Player  ,GM  ,KI  ,MK  ,HB  ,DI  ,DA  ,GL  ,BH  ,HO  ,TK  ,RB  ,IF  ,CL  ,CG  ,FF  ,FA  ,BR  ,CP  ,UP  ,CM  ,MI  ,1%  ,BO  ,GA  ,%P  ,SU  ,Team Name
17,Callaghan  Finn,21,208,97,228,436,20.76,3,3,,42,34,67,29,47,4,10,,101,338,2,3,13,8,13,80.6,,Gold Coast 
4,Greene  Toby,24,289,106,137,426,17.75,66,35,,60,3,120,41,103,30,28,20,184,237,15,46,27,1,26,90.3,0/2,Gold Coast 
36,Perryman  Harry,22,224,66,164,388,17.64,3,3,,92,64,48,32,66,13,19,,146,244,3,1,65,1,7,74.9,0/1,Gold Coast 
44,Buckley  Jack,26,198,114,143,341,13.12,,,,79,69,21,5,50,18,15,,152,193,18,1,228,5,2,93.3,,Gold Coast 
16,Daniels  Brent,20,196,54,140,336,16.8,26,14,,66,6,72,39,60,19,13,,137,194,1,19,13,7,19,80.4,0/1,Gold Coast 
13,Cumming  Isaac,20,231,83,103,334,16.7,6,,,49,66,39,18,51,9,11,,78,202,5,5,54,10,3,79.2,0/1,Gold Coast 
19,Haynes  Nick,20,214,125,101,315,15.75,2,2,,15,66,22,11,31,5,7,,83,231,13,3,58,14,1,67.4,4-Mar,Gold Coast 
23,Hogan  Jesse,23,182,141,119,301,13.09,49,28,20,40,2,38,6,58,20,12,3,154,151,45,70,41,,9,86.5,,Gold Coast 
38,Lloyd  Daniel,23,162,67,135,297,12.91,12,15,,70,13,50,9,44,7,7,,125,175,4,12,22,4,13,82.3,0/1,Gold Coast 
32,Briggs  Kieren,17,165,47,97,262,15.41,4,6,440,77,30,64,110,58,22,21,,181,74,12,4,60,,7,75.6,,Gold Coast 
14,Bedford  Toby,19,105,44,145,250,13.16,12,16,,97,6,45,36,42,15,12,,106,142,2,15,16,1,11,82.4,,Gold Coast 
15,Taylor  Sam,18,118,93,120,238,13.22,,,,38,50,10,3,29,26,14,3,143,96,36,,147,,1,93.4,0/1,Gold Coast 
46,Brown  Callum,19,118,77,83,201,10.58,19,14,12,32,11,35,7,30,11,6,,81,125,19,21,33,3,10,77.2,0/2,Gold Coast 
26,Riccardi  Jake,21,146,84,52,198,9.43,35,20,16,33,3,37,6,51,8,17,2,62,132,14,46,39,,9,72.1,0/1,Gold Coast 
33,OHalloran  Xavier,15,103,31,83,186,12.4,11,8,,43,6,47,7,48,10,13,,77,118,3,8,18,,5,72.4,2/0,Gold Coast 
9,Angwin  Ryan,15,62,31,84,146,9.73,1,1,,33,9,25,13,20,4,2,,52,100,1,5,18,4,5,62,3-Jan,Gold Coast 
20,Peatling  James,10,64,26,45,109,10.9,,6,,30,6,21,5,20,8,4,,45,67,3,3,13,2,4,71.4,1-Jan,Gold Coast 
30,Flynn  Matt,9,47,15,59,106,11.78,1,2,256,30,10,19,33,21,13,12,,67,37,2,4,36,,1,77.4,,Gold Coast 
25,Keeffe  Lachlan,14,43,28,46,89,6.36,1,3,94,20,4,13,7,23,4,9,,50,47,7,2,43,,6,67.6,0/1,Gold Coast 
43,Hamilton  Cooper,4,27,12,30,57,14.25,1,1,,3,4,6,1,13,4,4,,17,39,1,1,6,,2,63.3,1-Jan,Gold Coast 
5,Cadman  Aaron,12,35,19,19,54,4.5,6,4,,19,,9,,22,2,8,,32,25,6,9,7,,1,60.9,0/4,Gold Coast 
34,Fahey  Josh,7,38,15,14,52,7.43,4,2,,6,6,12,1,13,2,1,,10,42,,2,2,,2,42.4,4/0,Gold Coast 
24,Rowston  Harry,7,28,11,21,49,7,1,2,,10,4,10,5,8,2,1,,20,29,1,,4,,,45,3/0,Gold Coast 
40,Kennedy  Adam,5,22,8,14,36,7.2,,,,5,1,6,1,4,4,4,,13,25,,1,6,2,4,59.4,2-Jan,Gold Coast 
10,Wehr  Jacob,4,13,7,13,26,6.5,,,,9,4,4,3,6,2,3,,6,22,1,,1,,,57.3,1-Jan,Gold Coast 
